id,filename,context1,context2,contextId1,contextId2,label,,,,
1,100_Purple Ocean Psychic Readings,"The categories of Personal Information we have disclosed or sold for a business purpose.
Details about the Personal Information we collect can be found in the Information Collection and Use section of this Policy.
Further, details about the Personal Information that we disclose to third-parties for business purposes can be found in the Information Sharing and Disclosure section of this Policy.
The supplemental policy for the CCPA regarding the Personal Information we have collected over the last 12 months, including the categories of Personal Information, business purposes, and whether we collect or sell your Personal Information are provided below: Categories of personal information Business purpose Collected? Sold? Identifiers, such as full name, login name/nickname, street address, unique personal identifier, online identifier, date of birth, device type, unique device ID, browser type, Internet Protocol (IP) address, email address, account ID number, social security number, driver's license number, passport number, signature, or other similar identifiers. To provide our products and services to you. To personalize, develop, and improve our products and services.","(3) Right to Opt Out of the Sale of Personal Information Your Personal Information is sold (as we understand the term sell to be defined in the CCPA) when it is shared with a third party for monetary or other valuable consideration for a purpose that is not a business purpose as defined in the CCPA.
We do not sell your Personal Information.
If you would like to opt out of promotional email messages, you may do so by clicking the Unsubscribe link in any of the email messages you receive.
(4) Right to Non-Discrimination for the Exercise of a Consumers Privacy Rights We will not discriminate against you for exercising your rights under the To exercise the Right to Know or the Right to Request Deletion, please email Customer Support.",29,39,-1,,,,
2,100_Purple Ocean Psychic Readings,"This privacy policy has been updated to comply with the EU and UK General Data Protection Regulation (GDPR).
It is your responsibility to read this Policy.
If you do not accept this Policy, you must not use the Service.
INFORMATION COLLECTION AND USE While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to purchase the Service and to contact or identify you.","For example, third party social networking providers, analytics services, and advertising companies.
If you do not want us to collect information from such third parties, you should review and adjust your privacy settings on those networks accordingly.
To assist you in doing this, we have provided links to opt out of these third parties below: Google Analytics:
Opt-out page Facebook (advertising and analytics): Ad settings Mixpanel (analytics): support@purplegarden.co (2) Right to Request Deletion of Personal Information Subject to certain limitations, you may request that we delete the Personal Information that we have collected about you.",8,35,-1,,,,
3,100_Purple Ocean Psychic Readings,"The categories of Personal Information we have disclosed or sold for a business purpose.
Details about the Personal Information we collect can be found in the Information Collection and Use section of this Policy.
Further, details about the Personal Information that we disclose to third-parties for business purposes can be found in the Information Sharing and Disclosure section of this Policy.
The supplemental policy for the CCPA regarding the Personal Information we have collected over the last 12 months, including the categories of Personal Information, business purposes, and whether we collect or sell your Personal Information are provided below: Categories of personal information Business purpose Collected? Sold? Identifiers, such as full name, login name/nickname, street address, unique personal identifier, online identifier, date of birth, device type, unique device ID, browser type, Internet Protocol (IP) address, email address, account ID number, social security number, driver's license number, passport number, signature, or other similar identifiers. To provide our products and services to you. To personalize, develop, and improve our products and services.","For example, third party social networking providers, analytics services, and advertising companies.
If you do not want us to collect information from such third parties, you should review and adjust your privacy settings on those networks accordingly.
To assist you in doing this, we have provided links to opt out of these third parties below: Google Analytics:
Opt-out page Facebook (advertising and analytics): Ad settings Mixpanel (analytics): support@purplegarden.co (2) Right to Request Deletion of Personal Information Subject to certain limitations, you may request that we delete the Personal Information that we have collected about you.",29,35,-1,,,,
4,100_Purple Ocean Psychic Readings,"All third party partners are GDPR-compliant.
Our primary purpose in collecting Personal Information about you in connection with your use of our Services is to provide you or connect you with products, services, information, Advisors and users that match your interests and preferences.
However, we may use such information collected about you for a variety of commercial purposes.
Without limitation, we may use such information to Enable your participation in activities on our Services Provide our offerings and services to youConfirm your identityEnforce our Service policies and terms of service, and investigate potential violations of such policies or termsFulfill an order that you place through any of our Services, including to process payment for any purchase made through any of our ServicesRespond to inquiries that you may have about any of our ServicesAdminister your account on any of our ServicesDisplay content based upon your interestsEnable you to search information on our ServicesList in our search and directory services any users who provide services through one of our ServicesContact you regarding customer service and customer surveysAssess","For example, third party social networking providers, analytics services, and advertising companies.
If you do not want us to collect information from such third parties, you should review and adjust your privacy settings on those networks accordingly.
To assist you in doing this, we have provided links to opt out of these third parties below: Google Analytics:
Opt-out page Facebook (advertising and analytics): Ad settings Mixpanel (analytics): support@purplegarden.co (2) Right to Request Deletion of Personal Information Subject to certain limitations, you may request that we delete the Personal Information that we have collected about you.",14,35,-1,,,,
5,101_Trucker Path_ Truck GPS & Fuel,"With your consent, Trucker Path uses your contact information to recommend products and services that might be of interest to you, to send you marketing and advertising messages such as newsletters, announcements, or special offers or to notify you about our upcoming events.
If at any time, you would like to discontinue receiving any such email updates, you may unsubscribe by following the unsubscribe instructions included in each promotional email.
Use, disclosure, and sharing of Personal InformationService providersWe may use third-party partners to help us operate and maintain our Website/app and deliver our products and services.
We may also share your information with our service providers and other third parties (Affiliated Parties) that provide products or services for or through this Website/app or for our business (such as Website/app or Infrastructure hosting companies, communications providers, email providers, analytics companies, credit card processing companies and other similar service providers that use such information on our behalf).","Please keep in mind that due to the inherent nature of the Internet, there is no way to make the transmission of electronic data entirely safe from intrusion.
To help protect the privacy of data and personally identifiable information you transmit through use of this site and any other related services, we maintain physical, technical and administrative safeguards.
We update and test our security technology on an ongoing basis.
We restrict access to your personal data to those employees who need to know that information to provide benefits or services to you.",127,140,-1,,,,
6,101_Trucker Path_ Truck GPS & Fuel,"If you reject cookies, you may still use our site, but your ability to use some features or areas of our site may be limited.
Most web browsers can be set to tell you when a cookie has been sent to you and give you the opportunity to refuse that cookie.
Refusing a cookie may in some cases prevent you from using or negatively impact the display or function of our Website/app or certain areas or features of our Website/app.
There are numerous resources on the Internet that can provide more information about how cookies work and how you can manage them.","Please keep in mind that due to the inherent nature of the Internet, there is no way to make the transmission of electronic data entirely safe from intrusion.
To help protect the privacy of data and personally identifiable information you transmit through use of this site and any other related services, we maintain physical, technical and administrative safeguards.
We update and test our security technology on an ongoing basis.
We restrict access to your personal data to those employees who need to know that information to provide benefits or services to you.",108,140,-1,,,,
7,101_Trucker Path_ Truck GPS & Fuel,"Trucker Path may also include other Web Beacons within the Site.
To learn more about our cookie policy including what they are, why we use them, and how you can control consent and access, please see our Cookie Policy.
Your opt in/opt out choicesYou may opt in and/or opt out of certain uses of your Personal Information.
For example, you may have the opportunity to choose whether you would like to receive email correspondence from us.","Please keep in mind that due to the inherent nature of the Internet, there is no way to make the transmission of electronic data entirely safe from intrusion.
To help protect the privacy of data and personally identifiable information you transmit through use of this site and any other related services, we maintain physical, technical and administrative safeguards.
We update and test our security technology on an ongoing basis.
We restrict access to your personal data to those employees who need to know that information to provide benefits or services to you.",115,140,-1,,,,
8,101_Trucker Path_ Truck GPS & Fuel,"Employment Applications: In connection with a job application or inquiry, you may provide us with data about yourself, including your educational background or resume and other information, including your ethnicity where required or permitted by law.
We may use this information throughout Trucker Path, its subsidiaries and affiliates, and its joint ventures for the purpose of employment consideration.
Promotional Messaging or Advertising:
With your consent, Trucker Path uses your contact information to recommend products and services that might be of interest to you, to send you marketing and advertising messages such as newsletters, announcements, or special offers or to notify you about our upcoming events.","Please keep in mind that due to the inherent nature of the Internet, there is no way to make the transmission of electronic data entirely safe from intrusion.
To help protect the privacy of data and personally identifiable information you transmit through use of this site and any other related services, we maintain physical, technical and administrative safeguards.
We update and test our security technology on an ongoing basis.
We restrict access to your personal data to those employees who need to know that information to provide benefits or services to you.",125,140,-1,,,,
9,101_Trucker Path_ Truck GPS & Fuel,"You also agree not to share your password or login ID with anyone else.
In addition, you agree to take reasonable precautions against malware and viruses by installing an anti-virus software to protect your online activities.
What Is Personal Information?Personal Information means any information relating to an identified or identifiable natural person; an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person.
Personal Information may include the following: name, address, date of birth, gender, and contact data (i.e., email address, telephone number, and employer name).We may also collect information that is related to you but that does not personally identify you (Non-personal Information).","46 GDPR),or we will ask you for your prior consent to such international data transfers.
GDPR ComplaintsTrucker Path commits to resolve complaints about your privacy and our collection or use of your personal information under GDPR.
European Union individuals with inquiries or complaints should use our Data Subject Access Request (DSAR) Portal to submit complaints about your privacy and our collection or use of your personal information.
Alternative means of contact: If the Trucker Path (DSAR) Portal is unavailable, requests can be sent to privacy@truckerpath.comor to our mailing address: Trucker Path, Inc.45 W Buchanan St Phoenix, AZ 85003If you have any unresolved privacy concerns that we have not addressed satisfactorily after contacting us, you have the right to contact the EU Data Protection Authorities by clicking on the following link: https://ec.europa.eu/justice/article-29/structure/data-protection-authorities/index_en.htm.Third Parties who may receive personal data (Onward Transfer)Trucker Path may employ and contract with third-party service providers and other entities to assist in providing our services to customers by performing certain tasks on our behalf.",84,155,-1,,,,
10,101_Trucker Path_ Truck GPS & Fuel,"Trucker Path will also retain your information as reasonably necessary to comply with our legal obligations, resolve disputes and enforce our agreements.
We may also retain cached or archived copies of your information for a reasonable period of time.
At any point in time, you can withdraw consent and we will immediately stop processing your data.
International Transfer of Personal InformationTrucker Path may share customer information within our family of companies for a variety of purposes, for example, to provide you with the latest information about our products and services and offer you our latest promotions.","Please keep in mind that due to the inherent nature of the Internet, there is no way to make the transmission of electronic data entirely safe from intrusion.
To help protect the privacy of data and personally identifiable information you transmit through use of this site and any other related services, we maintain physical, technical and administrative safeguards.
We update and test our security technology on an ongoing basis.
We restrict access to your personal data to those employees who need to know that information to provide benefits or services to you.",143,140,-1,,,,
