id,origin_id,filename,context1,context2,label
1,16,102_Transit ???Subway & Bus Times,"We collect your name, phone number, email address and other information you may provide when using the ??Send Feedback???feature in the Settings view.
When using that option, a ??debugging info.txt???file is automatically attached to the email body and contains contextual information (such as your current location, device type, OS version, etc.)
that help us address issues you may be reporting.
We collect contact information (email and/or push notification token) when you explicitly request to be notified when Transit supports a new market.","How we use your informationWe may use information collected from or provided by you for the following purposes:Provide you with pertinent transport information for nearby services;Understand your preferences so that we can customize Transit for you, such as recommending personalized transport options;Restore your preferences if you log into your Transit account on a different device;Measure usage of Transit, including usage of specific features and views;Offer you rewards such as credits or promo codes for mobility operators that are available in Transit;Generate real-time location data of transit vehicles and broadcast the vehicle location and predicted arrival times to other users;Securely transfer your usage details, payment information and user credentials to mobility operators to provide you access to their services;Develop and improve Transit based on your feedback and interactions;Guide product development and build new features;Conduct research on users habits and how they use public transportation;Identify and correct bugs and other problems with Transit;Respond to your emails and help with support queries;Subject to your consent, keep you posted from time to time on latest announcements and additional information;Comply with law and regulations and lawful requests or orders.6.
Users???optionsThe following are some examples of your options with regard to collection, use and disclosure of your information:You can stop all collection of location data easily and at any time by disabling location services in your device???s settings or by uninstalling Transit.
You are not required to indicate any preferences (including setting your home and work address) in order to use Transit, nor are you required to create a Transit account that records your email, since these are optional.
You can provide anonymous feedback by using an email account that does not reveal your identity, and does not include your name.",0
2,24,104_GOHUNT,"Internally With our Employees/Agents.
We will share your Personal Information and General Information with our employees/agents who are responsible for providing you the Services in line with the scope of their employment/agency with us.
Third-Party Service Providers.
We employ and allow third parties to perform tasks on our behalf, such as payment processing, data management and analytics, marketing, advertising, email, communication and IT services, and we need to share your Personal Information and General Information with them in order for them to provide such products and services.","Accordingly, we do not knowingly collect age identifying information, nor do we knowingly collect any personal information from children under the age of 13 years.
However, we advise all users under the age of 13 not to disclose or provide any personal information on our applications.
In the event that we discover that a child under the age of 13 has provided personal information to us, in accordance with the Children???s Online Privacy Protection Act (please see the Federal Trade Commission???s website, we will delete the child???s personal information from our files to the extent technologically possible.3.
INFORMATION COLLECTEDIn order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (??Personal Information???, which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (??General Information???, such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.",0
3,33,104_GOHUNT,"These may be set and controlled by the social networks, and your preferences with those social networks.
You can manage your privacy preferences for these social networks and their tools and widgets via your account with the social network.
Ad NetworksWe use third party ad networks (called third-party ad servicer or network advertisers), including Facebook Pixel, to deliver ads to you on our behalf and on the behalf of our partners.
These third party ad networks may place their cookies, web beacons, pixel tags, or other technology on the Website or the Services or in your browser to collect General Information about you when you visit the Website or use the Services (such as browser types, time and date, browsing or transaction activity, subject to advertisements clicked on or scrolled over, or a platform-provided identifier during your visits to the Website or the Services) to enable those third party ad networks to deliver advertisements to you on third party websites and mobile applications for our products or services or those of third parties that are likely to be of interest to you.","The information GOHUNT collects, and how that information is used, depends on how you use our applications and how you manage your privacy controls.
We currently do not have the ability to respond to Do Not Track (DNT) signals.
Unless our partners have the ability to respond to the DNT signal, we would continue to track.
We also do not have the ability to detect and/or prevent authorized third party sites from bringing unauthorized third parties to our website to collect general and personal information beyond our normal intrusion detection/prevention.",1
4,45,104_GOHUNT,"These third party ad networks may place their cookies, web beacons, pixel tags, or other technology on the Website or the Services or in your browser to collect General Information about you when you visit the Website or use the Services (such as browser types, time and date, browsing or transaction activity, subject to advertisements clicked on or scrolled over, or a platform-provided identifier during your visits to the Website or the Services) to enable those third party ad networks to deliver advertisements to you on third party websites and mobile applications for our products or services or those of third parties that are likely to be of interest to you.
We may receive reports based on the use of these technologies by these companies on an individual or aggregated basis.
We encourage you to view the privacy policy of advertisers and ad services to learn more about their cookies and other technologies.
If you do not want to receive those kinds of advertisements, look for the ??Ad Choices???icon in the advertisements, which will contain a link to the privacy policy of the ad network that will provide you with information on how to opt-out of receiving such targeted advertising.","The information GOHUNT collects, and how that information is used, depends on how you use our applications and how you manage your privacy controls.
We currently do not have the ability to respond to Do Not Track (DNT) signals.
Unless our partners have the ability to respond to the DNT signal, we would continue to track.
We also do not have the ability to detect and/or prevent authorized third party sites from bringing unauthorized third parties to our website to collect general and personal information beyond our normal intrusion detection/prevention.",1
5,52,105_Escort Live Radar,"The Site is defined as the COBRA.COM website, the ESCORTRADAR.COM website, the DRIVE SMARTER mobile app, the iRadar mobile app, the Drive-HD app.
When you access, browse or use the Site, information will be collected, transferred, processed, stored, and/or disclosed in accordance with this Privacy Policy.
You should read this Privacy Policy in full.
By accessing, browsing, or using the Site, including without limitation purchasing Products via the Site, you acknowledge to have read and understood the information pertaining to the collection, transfer, use, processing and storage of your information, including personal data, as described in this Privacy Policy.","Account Registration.
You are not required to have an account to purchase Products on the Site.
However, you can create a user account with a unique user name and password combination.
If you choose to create a user account, you must provide current, complete, and accurate information to us in connection with your account and/or purchase of Products in order to receive Products from the Site.",0
6,60,105_Escort Live Radar,"Please contact us at Contact Us if you need details about the specific legal ground we are relying on to process your personal data where more than one ground has been set out in the table below.
Your Privacy at a Glance Purpose/Activity Type of data Lawful basis for processing including basis of legitimate interest New customer registration, subscription activation and account activation (a) Identity (b) Contact (c) Profile (d) Preferences Necessary for our legitimate interests (to propose your tailored services according to your setting preferences, and your consent when required, for instance for the placement of some types of cookies) Order processing: (a) Manage payments, fees and charges (b) Collect and recover payment owed to us
(a) Identity (b) Contact (c) Payment Performance of a contract with you Notification of changes to our terms or privacy policy (a) Identity (b) Contact (c) Profile Necessary to comply with a legal obligation Dispute resolution (a) Identity (b) Contact (c) Profile Necessary to comply with a legal obligation Ticketing reimbursement program (a) Identity (b) Contact (c) Profile (d) Payment Performance of a contract with you Moderate reviews (a) Identity (b) Contact Necessary for our legitimate interests (to moderate public reviews, reduce spam content and protect against misinformation) Your Privacy at a Glance Purpose/Activity Type of data Lawful basis for processing including basis of legitimate interest Administration and protection of our business and this Site (including troubleshooting, data analysis, testing, system maintenance, support, mitigating fraud, reporting and hosting of data) (a) Identity (b) Contact (c) Technical (d) Other (a) Necessary for our legitimate interests (for running our business, provision of administration and IT services, network security, to prevent fraud and in the context of a business reorganization or group restructuring exercise)
Remarketing and prospecting (a) Identity (b) Contact (c) Profile (d) Other (f) Technical Necessary for our legitimate interests (to study how customers use our products/services, to develop them, to grow our business and to inform our marketing strategy) Use of data analytics to improve our Site, products/services, marketing, customer relationships and experiences (a) Technical (b) Other Necessary for our legitimate interests (to define types of customers for our products and services, to keep our Site updated and relevant, to develop our business and to inform our marketing strategy) Customer service (a) Identity (b) Contact (c) Technical (d) Other (e) Profile Necessary for our legitimate interests (to grow our business, engage with you further to your query and provide you with product and purchasing support) Contacting you regarding items in your online shopping cart that you have not purchased. (a) Identity (b) Contact Necessary for our legitimate interests (to establish if customers are still interested in items left unpurchased in their shopping cart) Product repair (a) Identity (b) Contact Performance of a contract with you Warranty (a) Identity (b) Contact Performance of a contract with you Your Privacy at a Glance Purpose/Activity Type of data Lawful basis for processing including basis of legitimate interest Trade in program (a) Identity (b) Contact Performance of a contract with you Safety Features (a) Identity (b) Contact (c) Profile (d) Insurance (e) Emergency Contact Performance of a contract with and provide optional safety notification services, including the notification to your ??in case of emergency contact???in case of a collision, or preparation of ??canned???report that you can then opt to forward to insurance providers Personal Data Retention.","Account Registration.
You are not required to have an account to purchase Products on the Site.
However, you can create a user account with a unique user name and password combination.
If you choose to create a user account, you must provide current, complete, and accurate information to us in connection with your account and/or purchase of Products in order to receive Products from the Site.",0
7,66,106_epocrates,"Commercial information, such as information regarding products or services you purchased.
Internet or other electronic network activity information, such as how you interact with our website, application, or advertisements.
Professional or employment information, such as your title or employer.
Geolocation information, such as your general location (e.g., city/state) which may be collected or derived from your IP address.","For more information about the First and Third Party Cookies used please follow this link. More information Manage CookiesStrictly Necessary CookiesAlways ActiveThese cookies are necessary for the website to function and cannot be switched off in our systems.
They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in, or filling in forms.
You can set your browser to block or alert you about these cookies, but some parts of the site will not then work.
These cookies do not store any personally identifiable information.",0
8,68,106_epocrates,"You will be asked to select the correct NPI profile that represents you.
Once you claim your profile, we will ask about your specialty and any applicable sub-specialty to designate in your account;When
you create a new account or update an existing account in epocrates Online, we ask for your full name, email address(es), creation of password, work zip code, occupation, and specialty/subspecialty information (as applicable).
You may also provide information related to the medical school you attended including the country, state, name, graduation year, former last name (as applicable), and date of birth.","For more information about the First and Third Party Cookies used please follow this link. More information Manage CookiesStrictly Necessary CookiesAlways ActiveThese cookies are necessary for the website to function and cannot be switched off in our systems.
They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in, or filling in forms.
You can set your browser to block or alert you about these cookies, but some parts of the site will not then work.
These cookies do not store any personally identifiable information.",1
9,70,106_epocrates,"For more information on these practices, please see Sections II-V.Categories of personal information collectedPurposes for the collection of personal informationThird parties with whom personal information may have been disclosed, shared, or soldIdentifiersInformationcontained in ourcustomer recordsProtected classesCommercial informationInternet or other electronic network activity informationProfessional or employment informationGeolocation dataInferences drawn from other personal informationTo provide the ServicesTo improve the ServicesTo personalize the ServicesMarketing and advertisingBusiness operationsWhere you have given us your consentAs required by applicable lawTo evaluate or conduct a merger, divestiture, restructuring, reorganization, dissolution, or other sale or transfer of some or all of our assetsService providers.
Commercial clients (including prospective commercial clients).
For example, pharmaceutical companies, media agencies that represent such pharmaceutical clients and medical societies as well as Continuing Medical Education Partners.
Third Party PartnersWhere you have given us your consent If you are a California resident, you may have the following rights with respect to the personal information we process about you:To request information about the categories of personal information we have collected about you, the categories of sources from which we collected the personal information, the purposes for collecting or sharing the personal information, the categories of third parties with whom we have shared or sold your personal information, and the specific pieces of personal information we have collected about you.","For more information about the First and Third Party Cookies used please follow this link. More information Manage CookiesStrictly Necessary CookiesAlways ActiveThese cookies are necessary for the website to function and cannot be switched off in our systems.
They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in, or filling in forms.
You can set your browser to block or alert you about these cookies, but some parts of the site will not then work.
These cookies do not store any personally identifiable information.",1
10,71,106_epocrates,"For example, if you use the ??Feedback???functionality within the Services, we will collect the rating you provide as well as any information you enter the free text field.
We collect information automatically.
When you visit our website epocrates.com, use our Services, or interact with communications we may send to you in connection with your use of our Services (for example, emails or newsletters), some information is automatically collected.
For example, when you visit or use our Services your computer's operating system, Internet Protocol (IP) address, access times, browser type and language, geo-location, and the website you visited before our site may be collected and logged automatically.","For more information about the First and Third Party Cookies used please follow this link. More information Manage CookiesStrictly Necessary CookiesAlways ActiveThese cookies are necessary for the website to function and cannot be switched off in our systems.
They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in, or filling in forms.
You can set your browser to block or alert you about these cookies, but some parts of the site will not then work.
These cookies do not store any personally identifiable information.",1
