app_id,entity,datatype,text
100_Purple Ocean Psychic Readings,we,person name,"""In connection with making the Services available to our users, we may disclose certain information about you (including your name, username, and date of birth) to other users of the Services and Advisors, solely as directed by you or as authorized under our terms of service.""
""To assist you in doing this, we have provided links to opt out of these third parties below: Facebook (advertising and analytics): Ad settings"""
101_Trucker Path: Truck GPS & Fuel,3rd-party,person name,"""Business Purposes: In a prospective business transaction, Trucker Path may disclose Personal Information where Trucker Path has entered into an agreement that restricts the use and disclosure of that data solely for purposes related to the transaction, protects the data by security safeguards appropriate to the sensitivity of the information, and if the transaction does not proceed, the data is returned to Trucker Path or destroyed within a reasonable time.""
""California Civil Code Section 179883, also known as the \""Shine The Light\"" law, permits our users who are California residents to request and obtain from us, once a year and free of charge, information about categories of personal information (if any) we disclosed to third parties for direct marketing purposes and the names and addresses of all third parties with which we shared personal information in the immediately preceding calendar year""
""These third parties may access, process, or store personal data in the course of providing their services.""
""To facilitate our global operations, Trucker Path may transfer Personal Information from your home country to other Trucker Path locations across the world.""
""Trucker Path maintains contracts with these third parties restricting their access, use and disclosure of personal data in compliance.""
""Trucker Path may be required to disclose Personal Information to law enforcement agencies, government agencies, or legal entities.""
""Trucker Path uses your Personal Information to provide you products and services, such as to fulfil your requests for products or to help us personalize our offerings to you.""
""Trucker Path will not rent or sell your Personal Information to others but may disclose Personal Information with third-party vendors and service providers that work with Trucker Path .""
""With respect to employee data, Trucker Path may disclose Personal Information if it is necessary to establish, manage or terminate an employment relationship, as allowed by law."""
101_Trucker Path: Truck GPS & Fuel,we,email address,"""If you choose to correspond with us and the community, we may retain the data which could inclu d e name, email address and other contact related details.""
""If you choose to correspond with us via email, we may retain the content of your email messages, your email address and our response to you.""
""When asking for participation in these surveys, we may ask you to provide us with your name and email address."""
101_Trucker Path: Truck GPS & Fuel,we,person name,"""When asking for participation in these surveys, we may ask you to provide us with your name and email address."""
102_Transit • Subway & Bus Times,we,email address,"""9280-0366 Quebec Inc (\""We\"", \""Us\"", \""Our\"") has developed a mobile application (\""Transit\"", \""App\"") that collects data from your device in order to provide you with pertinent transport information for nearby services.""
""We collect and process information from your device in several ways, including: We collect contact information (email and/or push notification token) when you explicitly request to be notified when Transit supports a new market.""
""We collect and process information from your device in several ways, including: We collect your name, phone number, email address and other information you may provide when using the \""Send Feedback\"" feature in the Settings view.""
""We collect and process information from your device in several ways, including: When booking or purchasing mobility services directly from Transit (ridehail, bikeshare, carshare, transit tickets) in supported cities, we may collect your name, phone number, zip/postal code, email address, physical address, payment information, and other elements necessary to complete a transaction."""
102_Transit • Subway & Bus Times,we,geographical location,"""9280-0366 Quebec Inc (\""We\"", \""Us\"", \""Our\"") has developed a mobile application (\""Transit\"", \""App\"") that collects data from your device in order to provide you with pertinent transport information for nearby services.""
""For example, if you purchase a public transit ticket, we may share the time and location where you purchased that ticket in order to ensure that no fraudulent tickets have been sold; or if you try to unlock a bikeshare bike, we may verify your location to ensure that you're near the station before you unlock a bike.""
""We do not disclose your information to third parties without your explicit consent except for the following purposes: When you purchase or access services from a third party (e.g. a mobility operator) through our app, we will share the information required to ascertain your lawful use of those services (including tokenized payment information, relevant personally identifiable information, and any relevant location data)."""
102_Transit • Subway & Bus Times,we,person name,"""9280-0366 Quebec Inc (\""We\"", \""Us\"", \""Our\"") has developed a mobile application (\""Transit\"", \""App\"") that collects data from your device in order to provide you with pertinent transport information for nearby services.""
""We collect and process information from your device in several ways, including: We collect your name, phone number, email address and other information you may provide when using the \""Send Feedback\"" feature in the Settings view.""
""We collect and process information from your device in several ways, including: When booking or purchasing mobility services directly from Transit (ridehail, bikeshare, carshare, transit tickets) in supported cities, we may collect your name, phone number, zip/postal code, email address, physical address, payment information, and other elements necessary to complete a transaction."""
102_Transit • Subway & Bus Times,we,phone number,"""9280-0366 Quebec Inc (\""We\"", \""Us\"", \""Our\"") has developed a mobile application (\""Transit\"", \""App\"") that collects data from your device in order to provide you with pertinent transport information for nearby services.""
""We collect and process information from your device in several ways, including: We collect your name, phone number, email address and other information you may provide when using the \""Send Feedback\"" feature in the Settings view.""
""We collect and process information from your device in several ways, including: When booking or purchasing mobility services directly from Transit (ridehail, bikeshare, carshare, transit tickets) in supported cities, we may collect your name, phone number, zip/postal code, email address, physical address, payment information, and other elements necessary to complete a transaction."""
104_GOHUNT,3rd-party,email address,"""For example, if you buy a product of one of our partners via our Services, we share your Personal Information, General Information, and information regarding your purchase with our partners / sponsors who are offering those products/services or similar products/services so they may reach out to you about your interest in other products, services or events or related products, services or events.""
""If you choose to enter a contest or promotion, your Personal Information may be disclosed to third parties in connection with the administration of such offering, such as in connection with winner selection, prize fulfillment, and as required by law, such as on a winners list.""
""In order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (\""Personal Information\""), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (\""General Information\""), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.""
""Subject to applicable laws, we may share your Personal Information and General Information with companies with whom the Company is affiliated or related to (e.g., parent company or subsidiaries), and will require such affiliated or related companies to use the Information solely in accordance with this Privacy Policy.""
""The Personal Information we and our partners collect and maintain about you includes:""
""The Personal Information we and our partners collect and maintain about you includes: Contact information, such as name, email address, postal address, and telephone numbers;""
""We and our partners collect your personal information when you provide it to us when you interact with us directly through our Services, such as when you access various content or features, contact us directly, or other areas in which you otherwise interact with our Service.""
""We and our partners may access and store some or all of the following personal information, including: Contact information, such as name, email address, postal address, and telephone numbers;""
""We employ and allow third parties to perform tasks on our behalf, such as payment processing, data management and analytics, marketing, advertising, email, communication and IT services, and we need to share your Personal Information and General Information with them in order for them to provide such products and services.""
""We will share your Personal Information and General Information with our employees/agents who are responsible for providing you the Services in line with the scope of their employment/agency with us.""
""Where permitted by applicable law, we and our partners may collect Personal Information about you from other sources, including through interactive applications (such as mobile devices and third-party services), from commercially available sources (such as data aggregators and public databases), and when you access our Services through a social network."""
104_GOHUNT,3rd-party,geographical location,"""Additionally, some mobile service providers operate systems that pinpoint the physical location of devices that use their services.""
""Depending on the provider, we, our partners or our third party service providers may receive this information.""
""For example, if you buy a product of one of our partners via our Services, we share your Personal Information, General Information, and information regarding your purchase with our partners / sponsors who are offering those products/services or similar products/services so they may reach out to you about your interest in other products, services or events or related products, services or events.""
""In order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (\""Personal Information\""), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (\""General Information\""), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.""
""In particular, users may choose to share personal information such as name, age, gender, picture, their location information, reports and other files.""
""Subject to applicable laws, we may share your Personal Information and General Information with companies with whom the Company is affiliated or related to (e.g., parent company or subsidiaries), and will require such affiliated or related companies to use the Information solely in accordance with this Privacy Policy.""
""The Personal Information we and our partners collect and maintain about you includes: Your geolocation information;""
""We will share your Personal Information and General Information with our employees/agents who are responsible for providing you the Services in line with the scope of their employment/agency with us."""
